idiom,meaning
a bad quarter of an hour ,a brief but displeasing period.
a bag of bones ,"a very thin or bony person or animal, especially due to an illness."
a bag of tricks,a collection of genius plans or techniques.
a baker's dozen,thirteen.
a bed of nails,a challenging or uneasy situation.
a bed of roses,an easy or comfortable situation.
a Benjamin's portion,the largest share.
a big cheese,a significant and powerful person.
a bird in hand,something that you are sure of.
a bird of passage,someone who is always leaving.
a bird's-eye view,a general view of something.
a bit much,too much; excessive.
a black mark against someone,something someone did that is disliked by other people.
a black spot,a place famous for high crime or accident rate.
a blast from the past,"something that powerfully brings a longing for the past/nostalgia, especially an old song."
a blot on the escutcheon,something that stains your established reputation.
a blot on the landscape,something that ruins the appearance of a place.
a blue-eyed boy,a person in authority's favorite.
a bolt from the blue,an unexpected event or news.
a bone in your leg,a reason for laziness.
a bounden duty,a duty  considered obligatory.
a box of tricks,an innovative gadget.
a bread-and-butter letter,a guest's written thanks for hospitality. 
a breath of fresh air,1.) a small break in the fresh air. 2.) a renewing chapter.
a breed apart,1.) a person who is distinct from the norm. 2.) one-of-a-kind.
a brick short of a load ,stupid.
a broth of a boy ,a happy and energetic boy.
a bundle of nerves ,a fearful or very anxious person.
a clean bill of health,a confirmation that someone is in good health or something is in good condition.
a little bird told me,used as a teasing way of saying that you do not mean to reveal how you came to know something.
a new broom,a freshly assigned person who could possibly bring about significant changes.
a new kid on the block, newcomer to a place or activity.
a row of beans ,something of small significance or worth.
a safe bet,assurance.
a warning shot across the bows ,words or gestures to scare someone into switching to a different course of action.
above board,truthful.
alive and well,still existing or active (often used to deny rumours or beliefs that something has disappeared or declined).
all bets are off,the result of a particular situation is unpredictable.
all comers,"anyone who chooses to take part in an activity, typically a competiton."
as bright as a button,intelligent; sharp.
as brown as a berry,a very sustained person.
as clear as a bell,perfectly clear.
at someone's beck and call,constantly having to be prepared to follow someone's demands right away.
back to basics,leaving intricacy and complexity to focus on the most important aspects of something.
bad blood between —,a long-term conflict between parties.
bag and baggage,all possessions.
battle of the giants,a match between two finest groups or parties. 
battle royal,a fiercely competed fight or dispute.
battle stations,a command or signal to military personnel to take up their positions in preparation for battle.
bay for blood,demand penalty or sentence.
be a box of birds,be all right or happy.
be all that,be very attractive or good
be blown away,be very amazed.
be blown off course,have your goals interrupted by an occurrence.
be in someone's black books,be against someone.
be in the same boat,be in the same unfavorable or hard situation as others.
beam in your eye,a fault that is greater in yourself than in the person you are finding fault with.
beard the lion in his den,(physical or conceptual) challenge someone on their own ground.
beat a hasty retreat,"abolish, usually in order to evade something displeasing."
